QALY,TotalCost
12.48888222302802,26263.347564666117
12.440340895323931,27116.896131999427
12.434957304272865,26896.38258533271
12.432500138369324,26954.51617099944
12.418042237842023,27252.847199999465
12.463414185152423,26573.546889999478
12.432691864006877,26966.155879666032
12.454361225493727,26654.25314666608
12.434436693392275,27053.87903399946
12.458286210598642,26587.716181999316
12.450572134382625,26731.237101332725
12.466881704797373,26675.674493332754
12.467743301446784,26731.851246666138
12.45783313330396,26498.370113332698
12.464923060625543,26351.784949332723
12.397588746729804,27257.763137332728
12.45531988516798,26939.97855399943
12.4486880719144,26697.319106666113
12.440989238481258,26795.684950999457
12.410549754257438,27356.322637332723
