QALY,TotalCost
12.592878293643455,25579.973700000017
12.564367817663799,26264.98549266668
12.55481187313503,26124.46168866678
12.549698729386515,26441.520568666736
12.567489637597651,26484.33776866683
12.589876753318427,26196.385884000047
12.535523133419636,26512.047331333375
12.540036601155272,26443.736956000026
12.568340666561538,26121.586247333416
12.576763532890572,26041.94335800011
12.557345985126284,26338.080783333346
12.606346372481703,25560.107606666745
12.560812598702837,26024.457488000062
12.547200652620624,25892.61506000009
12.582318247038721,25983.137038666766
12.583640937400398,25791.896642666747
12.563337540111185,26210.755257333298
12.569696265024827,25983.517606000045
12.553329201167124,26391.559096666802
12.591597877661792,25899.792705333428
