QALY,TotalCost
10.288485837908851,18437.375625390247
10.202245869811334,18069.606378793585
10.411049220375167,18645.73019768604
10.304938978963785,18272.654878249225
10.120607384179243,17811.105103196518
10.446478260988853,18720.80548146662
10.205074927023327,18617.762062794893
10.155216049197351,18015.577392138326
10.26951421515237,17846.29857380186
10.36974285258941,18288.304576455033
10.341449532369198,18813.83039943822
10.305622275430567,18379.43822211795
10.354361961162395,18372.582459745565
10.345118679191666,18561.343091745042
10.043565916653383,17572.833674715035
10.305945417553449,18247.79416386041
10.291945952656445,18042.719672095624
10.249441843470668,17948.08756324282
10.482037498841866,18663.394025383088
10.44870053567231,18586.047656424795
10.231428000770448,18358.028596927412
10.368427671524756,18295.457127602614
10.272597895105532,18350.995395564714
10.336427516298926,18634.185226481615
10.420149871698282,18767.03385457363
10.230082757196751,18265.15466931276
10.314774252106735,18210.46330527596
10.370200340814208,18625.28322638019
10.315905108280736,18776.163861407465
10.389212937974072,18483.558619430067
