QALY,TotalCost
12.460075836484796,25759.3263599994
12.41049823692968,26663.168973332744
12.413428824741318,26372.518434999412
12.401314905091859,26404.2311186661
12.389458989226888,26755.536061332787
12.438845722413088,26157.10305399948
12.397796796521975,26530.071834666014
12.434980901549197,26280.4153039995
12.404789162019334,26521.958443332787
12.432561644341563,26219.72409799944
12.426614094400147,26265.015636332697
12.439649680523738,26167.822468666072
12.438005790934413,26196.188781999477
12.433210547669711,26141.831424666027
12.435770111060544,25864.098003999457
12.372786910815716,26741.666490666033
12.425778112255353,26423.178635999426
12.419478509961904,26266.008165999392
12.412376489644206,26336.219143332786
12.384738986837766,26874.86481066603
