QALY,TotalCost
12.740626284935733,24699.993863333373
12.709599270603437,25213.34142333353
12.699981881836901,25107.660098333465
12.698935710256812,25408.072090000067
12.704358251489243,25586.774876666816
12.73494824985997,25093.897103333475
12.68096491517794,25546.921871666793
12.685304613748274,25616.005083333486
12.708758939561482,24976.840180000123
12.718911429122596,25033.627083333464
12.710118173690484,25322.233505000146
12.754747274858705,24657.299821666777
12.70701643183776,25172.97296166674
12.684617203316416,25003.974215000104
12.725697523744593,25097.99810500009
12.730708066822855,24909.927178333415
12.70975141178257,25326.74039333343
12.722697040724343,25102.48009000006
12.705203674263398,25474.85781000015
12.737089357112568,24702.095980000122
12.732013486085867,24890.80144333343
12.712257433217356,25182.963083333438
12.71075989800532,25109.99392833345
12.734005281681583,24965.27780833347
12.746144856160473,24991.353791666832
12.700877804243273,25335.30752833343
12.689359944286856,25392.77128000014
12.686677499728244,25758.615443333525
12.70749869703742,25017.38587000009
12.687084148140045,25726.879420000056
